Startort,Destination,Distans_km,Kortid_min,Genererad_Text,Sitemap_Rad
Karlskrona,Karlskrona Landsbygd,10.7,10,Avståndet mellan Karlskrona och Karlskrona Landsbygd är 10.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona&amp;till=Karlskrona%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Karlskrona,Ronneby,20,16,Avståndet mellan Karlskrona och Ronneby är 20.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 16 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona&amp;till=Ronneby</loc><changefreq>monthly</changefreq></url>
Karlskrona,Ronneby Landsbygd,25.9,21,Avståndet mellan Karlskrona och Ronneby Landsbygd är 25.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 21 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona&amp;till=Ronneby%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Karlskrona,Karlshamn,44.9,36,Avståndet mellan Karlskrona och Karlshamn är 44.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 36 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona&amp;till=Karlshamn</loc><changefreq>monthly</changefreq></url>
Karlskrona,Karlshamn Landsbygd,49.3,39,Avståndet mellan Karlskrona och Karlshamn Landsbygd är 49.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 39 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona&amp;till=Karlshamn%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Karlskrona,Sölvesborg,63,50,Avståndet mellan Karlskrona och Sölvesborg är 63.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 50 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona&amp;till=Sölvesborg</loc><changefreq>monthly</changefreq></url>
Karlskrona,Sölvesborg Landsbygd,64.4,52,Avståndet mellan Karlskrona och Sölvesborg Landsbygd är 64.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 52 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona&amp;till=Sölvesborg%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Karlskrona,Olofström,66.5,53,Avståndet mellan Karlskrona och Olofström är 66.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 53 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona&amp;till=Olofström</loc><changefreq>monthly</changefreq></url>
Karlskrona,Olofström Landsbygd,69.7,56,Avståndet mellan Karlskrona och Olofström Landsbygd är 69.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 56 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona&amp;till=Olofström%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Karlskrona Landsbygd,Karlskrona,10.7,10,Avståndet mellan Karlskrona Landsbygd och Karlskrona är 10.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona%20Landsbygd&amp;till=Karlskrona</loc><changefreq>monthly</changefreq></url>
Karlskrona Landsbygd,Ronneby,23.5,19,Avståndet mellan Karlskrona Landsbygd och Ronneby är 23.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 19 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona%20Landsbygd&amp;till=Ronneby</loc><changefreq>monthly</changefreq></url>
Karlskrona Landsbygd,Ronneby Landsbygd,27.8,22,Avståndet mellan Karlskrona Landsbygd och Ronneby Landsbygd är 27.8 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 22 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona%20Landsbygd&amp;till=Ronneby%20Landsbygd</loc><changefreq>monthly</changefreq></url>
