Startort,Destination,Distans_km,Kortid_min,Genererad_Text,Sitemap_Rad
Falun,Falun Landsbygd,12.8,10,Avståndet mellan Falun och Falun Landsbygd är 12.8 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun&amp;till=Falun%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Falun,Borlänge,16.9,14,Avståndet mellan Falun och Borlänge är 16.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 14 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun&amp;till=Borlänge</loc><changefreq>monthly</changefreq></url>
Falun,Borlänge Landsbygd,20.8,17,Avståndet mellan Falun och Borlänge Landsbygd är 20.8 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 17 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun&amp;till=Borlänge%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Falun,Mora,74.1,59,Avståndet mellan Falun och Mora är 74.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 59 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun&amp;till=Mora</loc><changefreq>monthly</changefreq></url>
Falun,Mora Landsbygd,89.8,72,Avståndet mellan Falun och Mora Landsbygd är 89.8 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 72 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun&amp;till=Mora%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Falun,Ludvika,55.9,45,Avståndet mellan Falun och Ludvika är 55.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 45 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun&amp;till=Ludvika</loc><changefreq>monthly</changefreq></url>
Falun,Ludvika Landsbygd,69.2,55,Avståndet mellan Falun och Ludvika Landsbygd är 69.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 55 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun&amp;till=Ludvika%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Falun,Avesta,59.3,47,Avståndet mellan Falun och Avesta är 59.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 47 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun&amp;till=Avesta</loc><changefreq>monthly</changefreq></url>
Falun,Leksand,37.1,30,Avståndet mellan Falun och Leksand är 37.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 30 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun&amp;till=Leksand</loc><changefreq>monthly</changefreq></url>
Falun Landsbygd,Falun,12.8,10,Avståndet mellan Falun Landsbygd och Falun är 12.8 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun%20Landsbygd&amp;till=Falun</loc><changefreq>monthly</changefreq></url>
Falun Landsbygd,Borlänge,21.7,17,Avståndet mellan Falun Landsbygd och Borlänge är 21.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 17 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun%20Landsbygd&amp;till=Borlänge</loc><changefreq>monthly</changefreq></url>
Falun Landsbygd,Borlänge Landsbygd,29.4,24,Avståndet mellan Falun Landsbygd och Borlänge Landsbygd är 29.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 24 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun%20Landsbygd&amp;till=Borlänge%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Falun Landsbygd,Mora,61.3,49,Avståndet mellan Falun Landsbygd och Mora är 61.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 49 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun%20Landsbygd&amp;till=Mora</loc><changefreq>monthly</changefreq></url>
Falun Landsbygd,Mora Landsbygd,77,62,Avståndet mellan Falun Landsbygd och Mora Landsbygd är 77.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 62 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun%20Landsbygd&amp;till=Mora%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Falun Landsbygd,Ludvika,60.7,49,Avståndet mellan Falun Landsbygd och Ludvika är 60.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 49 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun%20Landsbygd&amp;till=Ludvika</loc><changefreq>monthly</changefreq></url>
Falun Landsbygd,Ludvika Landsbygd,73.4,59,Avståndet mellan Falun Landsbygd och Ludvika Landsbygd är 73.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 59 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun%20Landsbygd&amp;till=Ludvika%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Falun Landsbygd,Avesta,71.6,57,Avståndet mellan Falun Landsbygd och Avesta är 71.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 57 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun%20Landsbygd&amp;till=Avesta</loc><changefreq>monthly</changefreq></url>
Falun Landsbygd,Leksand,25.3,20,Avståndet mellan Falun Landsbygd och Leksand är 25.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 20 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Falun%20Landsbygd&amp;till=Leksand</loc><changefreq>monthly</changefreq></url>
Borlänge,Falun,16.9,14,Avståndet mellan Borlänge och Falun är 16.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 14 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Borlänge&amp;till=Falun</loc><changefreq>monthly</changefreq></url>
Borlänge,Falun Landsbygd,21.7,17,Avståndet mellan Borlänge och Falun Landsbygd är 21.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 17 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Borlänge&amp;till=Falun%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Borlänge,Borlänge Landsbygd,9.6,10,Avståndet mellan Borlänge och Borlänge Landsbygd är 9.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Borlänge&amp;till=Borlänge%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Borlänge,Mora,75.7,61,Avståndet mellan Borlänge och Mora är 75.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 61 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Borlänge&amp;till=Mora</loc><changefreq>monthly</changefreq></url>
