Startort,Destination,Distans_km,Kortid_min,Genererad_Text,Sitemap_Rad
Kalmar,Kalmar Landsbygd,11.5,10,Avståndet mellan Kalmar och Kalmar Landsbygd är 11.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=Kalmar%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Kalmar,Västervik,122.9,92,Avståndet mellan Kalmar och Västervik är 122.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 92 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=Västervik</loc><changefreq>monthly</changefreq></url>
Kalmar,Västervik Landsbygd,132.1,99,Avståndet mellan Kalmar och Västervik Landsbygd är 132.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 99 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=Västervik%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Kalmar,Oskarshamn,67.2,50,Avståndet mellan Kalmar och Oskarshamn är 67.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 50 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=Oskarshamn</loc><changefreq>monthly</changefreq></url>
Kalmar,Oskarshamn Landsbygd,76.4,57,Avståndet mellan Kalmar och Oskarshamn Landsbygd är 76.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 57 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=Oskarshamn%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Kalmar,Vimmerby,115.6,87,Avståndet mellan Kalmar och Vimmerby är 115.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 87 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=Vimmerby</loc><changefreq>monthly</changefreq></url>
Kalmar,Vimmerby Landsbygd,111.4,84,Avståndet mellan Kalmar och Vimmerby Landsbygd är 111.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 84 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=Vimmerby%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Kalmar,Borgholm,30.1,23,Avståndet mellan Kalmar och Borgholm är 30.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 23 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=Borgholm</loc><changefreq>monthly</changefreq></url>
Kalmar,Borgholm Landsbygd,39.9,30,Avståndet mellan Kalmar och Borgholm Landsbygd är 39.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 30 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=Borgholm%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Kalmar,Nybro,28.9,22,Avståndet mellan Kalmar och Nybro är 28.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 22 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=Nybro</loc><changefreq>monthly</changefreq></url>
