Startort,Destination,Distans_km,Kortid_min,Genererad_Text,Sitemap_Rad
Växjö,Växjö Landsbygd,10.4,10,Avståndet mellan Växjö och Växjö Landsbygd är 10.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Växjö&amp;till=Växjö%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Växjö,Ljungby,53,42,Avståndet mellan Växjö och Ljungby är 53.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 42 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Växjö&amp;till=Ljungby</loc><changefreq>monthly</changefreq></url>
Växjö,Ljungby Landsbygd,60.1,48,Avståndet mellan Växjö och Ljungby Landsbygd är 60.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 48 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Växjö&amp;till=Ljungby%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Växjö,Älmhult,54.7,44,Avståndet mellan Växjö och Älmhult är 54.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 44 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Växjö&amp;till=Älmhult</loc><changefreq>monthly</changefreq></url>
Växjö,Älmhult Landsbygd,58.6,47,Avståndet mellan Växjö och Älmhult Landsbygd är 58.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 47 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Växjö&amp;till=Älmhult%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Växjö,Alvesta,15.6,12,Avståndet mellan Växjö och Alvesta är 15.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 12 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Växjö&amp;till=Alvesta</loc><changefreq>monthly</changefreq></url>
Växjö,Alvesta Landsbygd,27.3,22,Avståndet mellan Växjö och Alvesta Landsbygd är 27.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 22 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Växjö&amp;till=Alvesta%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Växjö,Tingsryd,40.4,32,Avståndet mellan Växjö och Tingsryd är 40.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 32 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Växjö&amp;till=Tingsryd</loc><changefreq>monthly</changefreq></url>
Växjö,Tingsryd Landsbygd,35.6,28,Avståndet mellan Växjö och Tingsryd Landsbygd är 35.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 28 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Växjö&amp;till=Tingsryd%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Växjö Landsbygd,Växjö,10.4,10,Avståndet mellan Växjö Landsbygd och Växjö är 10.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Växjö%20Landsbygd&amp;till=Växjö</loc><changefreq>monthly</changefreq></url>
