Startort,Destination,Distans_km,Kortid_min,Genererad_Text,Sitemap_Rad
Gävle,Sundsvall,191,127,Avståndet mellan Gävle och Sundsvall är 191.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 127 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Gävle&amp;till=Sundsvall</loc><changefreq>monthly</changefreq></url>
Gävle,Östersund,307.7,205,Avståndet mellan Gävle och Östersund är 307.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 205 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Gävle&amp;till=Östersund</loc><changefreq>monthly</changefreq></url>
Gävle,Umeå,385.7,257,Avståndet mellan Gävle och Umeå är 385.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 257 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Gävle&amp;till=Umeå</loc><changefreq>monthly</changefreq></url>
Gävle,Skellefteå,492.9,329,Avståndet mellan Gävle och Skellefteå är 492.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 329 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Gävle&amp;till=Skellefteå</loc><changefreq>monthly</changefreq></url>
Gävle,Luleå,600.9,401,Avståndet mellan Gävle och Luleå är 600.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 401 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Gävle&amp;till=Luleå</loc><changefreq>monthly</changefreq></url>
Gävle,Kiruna,812,541,Avståndet mellan Gävle och Kiruna är 812.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 541 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Gävle&amp;till=Kiruna</loc><changefreq>monthly</changefreq></url>
Gävle,Örnsköldsvik,302.2,201,Avståndet mellan Gävle och Örnsköldsvik är 302.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 201 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Gävle&amp;till=Örnsköldsvik</loc><changefreq>monthly</changefreq></url>
Gävle,Hudiksvall,117.3,78,Avståndet mellan Gävle och Hudiksvall är 117.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 78 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Gävle&amp;till=Hudiksvall</loc><changefreq>monthly</changefreq></url>
Gävle,Åre,369.4,246,Avståndet mellan Gävle och Åre är 369.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 246 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Gävle&amp;till=Åre</loc><changefreq>monthly</changefreq></url>
Sundsvall,Gävle,191,127,Avståndet mellan Sundsvall och Gävle är 191.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 127 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Sundsvall&amp;till=Gävle</loc><changefreq>monthly</changefreq></url>
