Startort,Destination,Distans_km,Kortid_min,Genererad_Text,Sitemap_Rad
Stockholm,Uppsala,69,59,Avståndet mellan Stockholm och Uppsala är 69 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 59 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 90 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Stockholm&amp;till=Uppsala</loc><changefreq>monthly</changefreq></url>
Göteborg ,Borås,63,49,Avståndet mellan Göteborg  och Borås är 63 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 49 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 82 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=G%C3%B6teborg&amp;till=Bor%C3%A5s</loc><changefreq>monthly</changefreq></url>
Malmö,Lund,19,24,Avståndet mellan Malmö och Lund är 19 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 24 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 25 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malm%C3%B6&amp;till=Lund</loc><changefreq>monthly</changefreq></url>
Uppsala,Gävle,107,72,Avståndet mellan Uppsala och Gävle är 107 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 72 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 139 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Uppsala&amp;till=G%C3%A4vle</loc><changefreq>monthly</changefreq></url>
Västerås,Eskilstuna,45,42,Avståndet mellan Västerås och Eskilstuna är 45 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 42 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 59 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=V%C3%A4ster%C3%A5s&amp;till=Eskilstuna</loc><changefreq>monthly</changefreq></url>
Örebro,Karlskoga,45,35,Avståndet mellan Örebro och Karlskoga är 45 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 35 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 59 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=%C3%96rebro&amp;till=Karlskoga</loc><changefreq>monthly</changefreq></url>
Båstad,Helsingborg,56,46,Avståndet mellan Båstad och Helsingborg är 56 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 46 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 73 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=B%C3%A5stad&amp;till=Helsingborg</loc><changefreq>monthly</changefreq></url>
Båstad,Höganäs,55,45,Avståndet mellan Båstad och Höganäs är 55 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 45 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 72 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=B%C3%A5stad&amp;till=H%C3%B6gan%C3%A4s</loc><changefreq>monthly</changefreq></url>
Kiruna,Stockholm,1229,864,Avståndet mellan Kiruna och Stockholm är 1229 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 864 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 1598 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kiruna&amp;till=Stockholm</loc><changefreq>monthly</changefreq></url>
Sollefteå,Lund,1091,712,Avståndet mellan Sollefteå och Lund är 1091 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 712 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 1418 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Sollefte%C3%A5&amp;till=Lund</loc><changefreq>monthly</changefreq></url>
Göteborg ,Malmö,272,183,Avståndet mellan Göteborg  och Malmö är 272 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 183 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 354 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=G%C3%B6teborg&amp;till=Malm%C3%B6</loc><changefreq>monthly</changefreq></url>
Marstrand,Helsingborg,258,180,Avståndet mellan Marstrand och Helsingborg är 258 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 180 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 335 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Marstrand&amp;till=Helsingborg</loc><changefreq>monthly</changefreq></url>
Ängelholm,Stockholm,544,353,Avståndet mellan Ängelholm och Stockholm är 544 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 353 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 707 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=%C3%84ngelholm&amp;till=Stockholm</loc><changefreq>monthly</changefreq></url>
Byxelkrok,Laxvik,342,260,Avståndet mellan Byxelkrok och Laxvik är 342 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 260 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 445 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Byxelkrok&amp;till=Laxvik</loc><changefreq>monthly</changefreq></url>
Malmö,Oskarshamn,322,247,Avståndet mellan Malmö och Oskarshamn är 322 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 247 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 419 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malm%C3%B6&amp;till=Oskarshamn</loc><changefreq>monthly</changefreq></url>
Ystad,Lund,61,57,Avståndet mellan Ystad och Lund är 61 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 57 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 79 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Lund</loc><changefreq>monthly</changefreq></url>
Lund,Stockholm,604,387,Avståndet mellan Lund och Stockholm är 604 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 387 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 785 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Lund&amp;till=Stockholm</loc><changefreq>monthly</changefreq></url>
Happaranda,Stockholm,1019,710,Avståndet mellan Happaranda och Stockholm är 1019 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 710 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 1325 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Happaranda&amp;till=Stockholm</loc><changefreq>monthly</changefreq></url>
Luleå,Kalmar,1310,906,Avståndet mellan Luleå och Kalmar är 1310 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 906 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 1703 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Lule%C3%A5&amp;till=Kalmar</loc><changefreq>monthly</changefreq></url>
Helsingborg,Lund,55,46,Avståndet mellan Helsingborg och Lund är 55 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 46 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 72 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Helsingborg&amp;till=Lund</loc><changefreq>monthly</changefreq></url>
Norrköping,Kramfors,626,416,Avståndet mellan Norrköping och Kramfors är 626 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 416 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 814 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Norrk%C3%B6ping&amp;till=Kramfors</loc><changefreq>monthly</changefreq></url>
Jönköping,Linköping,128,92,Avståndet mellan Jönköping och Linköping är 128 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 92 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 166 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=J%C3%B6nk%C3%B6ping&amp;till=Link%C3%B6ping</loc><changefreq>monthly</changefreq></url>
Gränna,Göteborg,183,126,Avståndet mellan Gränna och Göteborg är 183 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 126 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 238 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Gr%C3%A4nna&amp;till=G%C3%B6teborg</loc><changefreq>monthly</changefreq></url>
Såtenäs,Karlskrona,364,294,Avståndet mellan Såtenäs och Karlskrona är 364 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 294 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 473 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=S%C3%A5ten%C3%A4s&amp;till=Karlskrona</loc><changefreq>monthly</changefreq></url>
Linköping,Orust,342,237,Avståndet mellan Linköping och Orust är 342 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 237 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 445 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Link%C3%B6ping&amp;till=Orust</loc><changefreq>monthly</changefreq></url>
Kiruna,Stockholm,1229,864,Avståndet mellan Kiruna och Stockholm är 1229 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 864 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 1598 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kiruna&amp;till=Stockholm</loc><changefreq>monthly</changefreq></url>
Kiruna,Stockholm,1229,864,Avståndet mellan Kiruna och Stockholm är 1229 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 864 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 1598 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kiruna&amp;till=Stockholm</loc><changefreq>monthly</changefreq></url>
Strömstad,Göteborg,165,114,Avståndet mellan Strömstad och Göteborg är 165 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 114 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 215 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Str%C3%B6mstad&amp;till=G%C3%B6teborg</loc><changefreq>monthly</changefreq></url>
Göteborg ,Haninge,480,313,Avståndet mellan Göteborg  och Haninge är 480 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 313 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 624 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=G%C3%B6teborg&amp;till=Haninge</loc><changefreq>monthly</changefreq></url>
Göteborg ,Luleå,1247,896,Avståndet mellan Göteborg  och Luleå är 1247 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 896 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 1621 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=G%C3%B6teborg&amp;till=Lule%C3%A5</loc><changefreq>monthly</changefreq></url>
Göteborg ,Ängelholm,189,132,Avståndet mellan Göteborg  och Ängelholm är 189 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 132 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 246 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=G%C3%B6teborg&amp;till=%C3%84ngelholm</loc><changefreq>monthly</changefreq></url>
Göteborg ,Borensberg,271,191,Avståndet mellan Göteborg  och Borensberg är 271 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 191 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 352 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=G%C3%B6teborg&amp;till=Borensberg</loc><changefreq>monthly</changefreq></url>
Lidköping,Nyköping,273,232,Avståndet mellan Lidköping och Nyköping är 273 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 232 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 355 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Lidk%C3%B6ping&amp;till=Nyk%C3%B6ping</loc><changefreq>monthly</changefreq></url>
Nyköping,Jönköping,225,147,Avståndet mellan Nyköping och Jönköping är 225 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 147 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 293 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Nyk%C3%B6ping&amp;till=J%C3%B6nk%C3%B6ping</loc><changefreq>monthly</changefreq></url>
Kalmar,Jönköping,214,173,Avståndet mellan Kalmar och Jönköping är 214 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 173 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 278 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=J%C3%B6nk%C3%B6ping</loc><changefreq>monthly</changefreq></url>
Kalmar,Trelleborg,317,222,Avståndet mellan Kalmar och Trelleborg är 317 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 222 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 412 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kalmar&amp;till=Trelleborg</loc><changefreq>monthly</changefreq></url>
Ystad,Malmö,58,53,Avståndet mellan Ystad och Malmö är 58 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 53 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 75 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Malm%C3%B6</loc><changefreq>monthly</changefreq></url>
Malmö,Trelleborg,33,34,Avståndet mellan Malmö och Trelleborg är 33 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 34 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 43 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malm%C3%B6&amp;till=Trelleborg</loc><changefreq>monthly</changefreq></url>
Trelleborg,Karlshamn,180,123,Avståndet mellan Trelleborg och Karlshamn är 180 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 123 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 234 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Trelleborg&amp;till=Karlshamn</loc><changefreq>monthly</changefreq></url>
Trelleborg,Karlskrona,238,168,Avståndet mellan Trelleborg och Karlskrona är 238 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 168 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 309 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Trelleborg&amp;till=Karlskrona</loc><changefreq>monthly</changefreq></url>
Karlskrona,Ystad,188,150,Avståndet mellan Karlskrona och Ystad är 188 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 150 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 244 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Karlskrona&amp;till=Ystad</loc><changefreq>monthly</changefreq></url>
Ystad,Lund,61,57,Avståndet mellan Ystad och Lund är 61 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 57 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 79 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Lund</loc><changefreq>monthly</changefreq></url>
Ystad,Bjäred,160,112,Avståndet mellan Ystad och Bjäred är 160 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 112 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 208 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Bj%C3%A4red</loc><changefreq>monthly</changefreq></url>
Bjäred,Helsingborg,52,42,Avståndet mellan Bjäred och Helsingborg är 52 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 42 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 68 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Bj%C3%A4red&amp;till=Helsingborg</loc><changefreq>monthly</changefreq></url>
Bjäred,Lomma,98,67,Avståndet mellan Bjäred och Lomma är 98 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 67 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 127 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Bj%C3%A4red&amp;till=Lomma</loc><changefreq>monthly</changefreq></url>
Lomma,Lund,9,15,Avståndet mellan Lomma och Lund är 9 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 15 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 12 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Lomma&amp;till=Lund</loc><changefreq>monthly</changefreq></url>
Båstad,Landskrona,73,57,Avståndet mellan Båstad och Landskrona är 73 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 57 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 95 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=B%C3%A5stad&amp;till=Landskrona</loc><changefreq>monthly</changefreq></url>
Landskrona,Helsingborg,25,27,Avståndet mellan Landskrona och Helsingborg är 25 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 27 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 33 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Landskrona&amp;till=Helsingborg</loc><changefreq>monthly</changefreq></url>
Landskrona,Ängelholm,47,41,Avståndet mellan Landskrona och Ängelholm är 47 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 41 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 61 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Landskrona&amp;till=%C3%84ngelholm</loc><changefreq>monthly</changefreq></url>
Landskrona ,Malmö,43,36,Avståndet mellan Landskrona  och Malmö är 43 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 36 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 56 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Landskrona&amp;till=Malm%C3%B6</loc><changefreq>monthly</changefreq></url>
Landskrona,Lund,34,31,Avståndet mellan Landskrona och Lund är 34 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 31 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 44 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Landskrona&amp;till=Lund</loc><changefreq>monthly</changefreq></url>
Landskrona,Ystad,96,71,Avståndet mellan Landskrona och Ystad är 96 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 71 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 125 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Landskrona&amp;till=Ystad</loc><changefreq>monthly</changefreq></url>
Ystad,Åstorp,131,90,Avståndet mellan Ystad och Åstorp är 131 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 90 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 170 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=%C3%85storp</loc><changefreq>monthly</changefreq></url>
Ängelholm,Bjuv,20,23,Avståndet mellan Ängelholm och Bjuv är 20 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 23 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 26 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=%C3%84ngelholm&amp;till=Bjuv</loc><changefreq>monthly</changefreq></url>
Ängelholm,Örkelljunga,30,32,Avståndet mellan Ängelholm och Örkelljunga är 30 kilometer. Den objektiva körtiden med bil under normala trafikförhållanden är beräknad av Karl-Johan Gyllenstorm till cirka 32 minuter. Bränslekostnaden för denna pendlingsrutt uppskattas av Gyllenstorm till ungefär 39 kr baserat på nuvarande drivmedelspriser.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=%C3%84ngelholm&amp;till=%C3%96rkelljunga</loc><changefreq>monthly</changefreq></url>
