Startort,Destination,Distans_km,Kortid_min,Genererad_Text,Sitemap_Rad
Hörby,Skurup Landsbygd,42.4,34,Avståndet mellan Hörby och Skurup Landsbygd är 42.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 34 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Hörby&amp;till=Skurup%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Hörby,Ystad,48,38,Avståndet mellan Hörby och Ystad är 48.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 38 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Hörby&amp;till=Ystad</loc><changefreq>monthly</changefreq></url>
Hörby,Kristianstad,36.5,29,Avståndet mellan Hörby och Kristianstad är 36.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 29 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Hörby&amp;till=Kristianstad</loc><changefreq>monthly</changefreq></url>
Hörby,Helsingborg,64,51,Avståndet mellan Hörby och Helsingborg är 64.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 51 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Hörby&amp;till=Helsingborg</loc><changefreq>monthly</changefreq></url>
Hörby,Malmö Landsbygd,48.6,39,Avståndet mellan Hörby och Malmö Landsbygd är 48.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 39 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Hörby&amp;till=Malmö%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Hörby,Båstad,82.3,66,Avståndet mellan Hörby och Båstad är 82.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 66 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Hörby&amp;till=Båstad</loc><changefreq>monthly</changefreq></url>
Hörby,Simrishamn Landsbygd,52.2,42,Avståndet mellan Hörby och Simrishamn Landsbygd är 52.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 42 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Hörby&amp;till=Simrishamn%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Hörby,Ängelholm,65.9,53,Avståndet mellan Hörby och Ängelholm är 65.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 53 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Hörby&amp;till=Ängelholm</loc><changefreq>monthly</changefreq></url>
Hörby,Hässleholm Landsbygd,33.7,27,Avståndet mellan Hörby och Hässleholm Landsbygd är 33.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 27 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Hörby&amp;till=Hässleholm%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Skurup Landsbygd,Hörby,42.4,34,Avståndet mellan Skurup Landsbygd och Hörby är 42.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 34 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Skurup%20Landsbygd&amp;till=Hörby</loc><changefreq>monthly</changefreq></url>
Skurup Landsbygd,Ystad,20.7,17,Avståndet mellan Skurup Landsbygd och Ystad är 20.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 17 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Skurup%20Landsbygd&amp;till=Ystad</loc><changefreq>monthly</changefreq></url>
Skurup Landsbygd,Kristianstad,73.5,59,Avståndet mellan Skurup Landsbygd och Kristianstad är 73.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 59 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Skurup%20Landsbygd&amp;till=Kristianstad</loc><changefreq>monthly</changefreq></url>
Skurup Landsbygd,Helsingborg,80.8,65,Avståndet mellan Skurup Landsbygd och Helsingborg är 80.8 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 65 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Skurup%20Landsbygd&amp;till=Helsingborg</loc><changefreq>monthly</changefreq></url>
Skurup Landsbygd,Malmö Landsbygd,26.6,21,Avståndet mellan Skurup Landsbygd och Malmö Landsbygd är 26.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 21 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Skurup%20Landsbygd&amp;till=Malmö%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Skurup Landsbygd,Båstad,113.7,91,Avståndet mellan Skurup Landsbygd och Båstad är 113.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 91 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Skurup%20Landsbygd&amp;till=Båstad</loc><changefreq>monthly</changefreq></url>
Skurup Landsbygd,Simrishamn Landsbygd,50.7,41,Avståndet mellan Skurup Landsbygd och Simrishamn Landsbygd är 50.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 41 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Skurup%20Landsbygd&amp;till=Simrishamn%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Skurup Landsbygd,Ängelholm,93.6,75,Avståndet mellan Skurup Landsbygd och Ängelholm är 93.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 75 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Skurup%20Landsbygd&amp;till=Ängelholm</loc><changefreq>monthly</changefreq></url>
Skurup Landsbygd,Hässleholm Landsbygd,76.1,61,Avståndet mellan Skurup Landsbygd och Hässleholm Landsbygd är 76.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 61 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Skurup%20Landsbygd&amp;till=Hässleholm%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Ystad,Hörby,48,38,Avståndet mellan Ystad och Hörby är 48.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 38 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Hörby</loc><changefreq>monthly</changefreq></url>
Ystad,Skurup Landsbygd,20.7,17,Avståndet mellan Ystad och Skurup Landsbygd är 20.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 17 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Skurup%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Ystad,Kristianstad,70.1,56,Avståndet mellan Ystad och Kristianstad är 70.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 56 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Kristianstad</loc><changefreq>monthly</changefreq></url>
Ystad,Helsingborg,98.4,79,Avståndet mellan Ystad och Helsingborg är 98.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 79 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Helsingborg</loc><changefreq>monthly</changefreq></url>
Ystad,Malmö Landsbygd,47.3,38,Avståndet mellan Ystad och Malmö Landsbygd är 47.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 38 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Malmö%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Ystad,Båstad,127.2,102,Avståndet mellan Ystad och Båstad är 127.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 102 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Båstad</loc><changefreq>monthly</changefreq></url>
Ystad,Simrishamn Landsbygd,33.1,26,Avståndet mellan Ystad och Simrishamn Landsbygd är 33.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 26 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Simrishamn%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Ystad,Ängelholm,108.3,87,Avståndet mellan Ystad och Ängelholm är 108.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 87 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Ängelholm</loc><changefreq>monthly</changefreq></url>
Ystad,Hässleholm Landsbygd,80.3,64,Avståndet mellan Ystad och Hässleholm Landsbygd är 80.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 64 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Ystad&amp;till=Hässleholm%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Kristianstad,Hörby,36.5,29,Avståndet mellan Kristianstad och Hörby är 36.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 29 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kristianstad&amp;till=Hörby</loc><changefreq>monthly</changefreq></url>
Kristianstad,Skurup Landsbygd,73.5,59,Avståndet mellan Kristianstad och Skurup Landsbygd är 73.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 59 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kristianstad&amp;till=Skurup%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Kristianstad,Ystad,70.1,56,Avståndet mellan Kristianstad och Ystad är 70.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 56 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kristianstad&amp;till=Ystad</loc><changefreq>monthly</changefreq></url>
Kristianstad,Helsingborg,90.6,72,Avståndet mellan Kristianstad och Helsingborg är 90.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 72 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kristianstad&amp;till=Helsingborg</loc><changefreq>monthly</changefreq></url>
Kristianstad,Malmö Landsbygd,84.8,68,Avståndet mellan Kristianstad och Malmö Landsbygd är 84.8 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 68 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kristianstad&amp;till=Malmö%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Kristianstad,Båstad,92.6,74,Avståndet mellan Kristianstad och Båstad är 92.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 74 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kristianstad&amp;till=Båstad</loc><changefreq>monthly</changefreq></url>
Kristianstad,Simrishamn Landsbygd,54.3,43,Avståndet mellan Kristianstad och Simrishamn Landsbygd är 54.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 43 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kristianstad&amp;till=Simrishamn%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Kristianstad,Ängelholm,83.2,67,Avståndet mellan Kristianstad och Ängelholm är 83.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 67 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kristianstad&amp;till=Ängelholm</loc><changefreq>monthly</changefreq></url>
Kristianstad,Hässleholm Landsbygd,28.2,23,Avståndet mellan Kristianstad och Hässleholm Landsbygd är 28.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 23 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Kristianstad&amp;till=Hässleholm%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Helsingborg,Hörby,64,51,Avståndet mellan Helsingborg och Hörby är 64.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 51 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Helsingborg&amp;till=Hörby</loc><changefreq>monthly</changefreq></url>
Helsingborg,Skurup Landsbygd,80.8,65,Avståndet mellan Helsingborg och Skurup Landsbygd är 80.8 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 65 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Helsingborg&amp;till=Skurup%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Helsingborg,Ystad,98.4,79,Avståndet mellan Helsingborg och Ystad är 98.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 79 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Helsingborg&amp;till=Ystad</loc><changefreq>monthly</changefreq></url>
Helsingborg,Kristianstad,90.6,72,Avståndet mellan Helsingborg och Kristianstad är 90.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 72 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Helsingborg&amp;till=Kristianstad</loc><changefreq>monthly</changefreq></url>
Helsingborg,Malmö Landsbygd,60.7,49,Avståndet mellan Helsingborg och Malmö Landsbygd är 60.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 49 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Helsingborg&amp;till=Malmö%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Helsingborg,Båstad,43.9,35,Avståndet mellan Helsingborg och Båstad är 43.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 35 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Helsingborg&amp;till=Båstad</loc><changefreq>monthly</changefreq></url>
Helsingborg,Simrishamn Landsbygd,114.5,92,Avståndet mellan Helsingborg och Simrishamn Landsbygd är 114.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 92 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Helsingborg&amp;till=Simrishamn%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Helsingborg,Ängelholm,24.2,19,Avståndet mellan Helsingborg och Ängelholm är 24.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 19 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Helsingborg&amp;till=Ängelholm</loc><changefreq>monthly</changefreq></url>
Helsingborg,Hässleholm Landsbygd,66.5,53,Avståndet mellan Helsingborg och Hässleholm Landsbygd är 66.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 53 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Helsingborg&amp;till=Hässleholm%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Malmö Landsbygd,Hörby,48.6,39,Avståndet mellan Malmö Landsbygd och Hörby är 48.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 39 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malmö%20Landsbygd&amp;till=Hörby</loc><changefreq>monthly</changefreq></url>
Malmö Landsbygd,Skurup Landsbygd,26.6,21,Avståndet mellan Malmö Landsbygd och Skurup Landsbygd är 26.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 21 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malmö%20Landsbygd&amp;till=Skurup%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Malmö Landsbygd,Ystad,47.3,38,Avståndet mellan Malmö Landsbygd och Ystad är 47.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 38 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malmö%20Landsbygd&amp;till=Ystad</loc><changefreq>monthly</changefreq></url>
Malmö Landsbygd,Kristianstad,84.8,68,Avståndet mellan Malmö Landsbygd och Kristianstad är 84.8 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 68 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malmö%20Landsbygd&amp;till=Kristianstad</loc><changefreq>monthly</changefreq></url>
Malmö Landsbygd,Helsingborg,60.7,49,Avståndet mellan Malmö Landsbygd och Helsingborg är 60.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 49 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malmö%20Landsbygd&amp;till=Helsingborg</loc><changefreq>monthly</changefreq></url>
Malmö Landsbygd,Båstad,99.5,80,Avståndet mellan Malmö Landsbygd och Båstad är 99.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 80 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malmö%20Landsbygd&amp;till=Båstad</loc><changefreq>monthly</changefreq></url>
Malmö Landsbygd,Simrishamn Landsbygd,75.5,60,Avståndet mellan Malmö Landsbygd och Simrishamn Landsbygd är 75.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 60 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malmö%20Landsbygd&amp;till=Simrishamn%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Malmö Landsbygd,Ängelholm,78.3,63,Avståndet mellan Malmö Landsbygd och Ängelholm är 78.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 63 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malmö%20Landsbygd&amp;till=Ängelholm</loc><changefreq>monthly</changefreq></url>
Malmö Landsbygd,Hässleholm Landsbygd,78.1,62,Avståndet mellan Malmö Landsbygd och Hässleholm Landsbygd är 78.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 62 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Malmö%20Landsbygd&amp;till=Hässleholm%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Båstad,Hörby,82.3,66,Avståndet mellan Båstad och Hörby är 82.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 66 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Båstad&amp;till=Hörby</loc><changefreq>monthly</changefreq></url>
Båstad,Skurup Landsbygd,113.7,91,Avståndet mellan Båstad och Skurup Landsbygd är 113.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 91 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Båstad&amp;till=Skurup%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Båstad,Ystad,127.2,102,Avståndet mellan Båstad och Ystad är 127.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 102 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Båstad&amp;till=Ystad</loc><changefreq>monthly</changefreq></url>
Båstad,Kristianstad,92.6,74,Avståndet mellan Båstad och Kristianstad är 92.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 74 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Båstad&amp;till=Kristianstad</loc><changefreq>monthly</changefreq></url>
Båstad,Helsingborg,43.9,35,Avståndet mellan Båstad och Helsingborg är 43.9 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 35 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Båstad&amp;till=Helsingborg</loc><changefreq>monthly</changefreq></url>
Båstad,Malmö Landsbygd,99.5,80,Avståndet mellan Båstad och Malmö Landsbygd är 99.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 80 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Båstad&amp;till=Malmö%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Båstad,Simrishamn Landsbygd,133.7,107,Avståndet mellan Båstad och Simrishamn Landsbygd är 133.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 107 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Båstad&amp;till=Simrishamn%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Båstad,Ängelholm,21.2,17,Avståndet mellan Båstad och Ängelholm är 21.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 17 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Båstad&amp;till=Ängelholm</loc><changefreq>monthly</changefreq></url>
Båstad,Hässleholm Landsbygd,64.4,52,Avståndet mellan Båstad och Hässleholm Landsbygd är 64.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 52 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Båstad&amp;till=Hässleholm%20Landsbygd</loc><changefreq>monthly</changefreq></url>
