Startort,Destination,Distans_km,Kortid_min,Genererad_Text,Sitemap_Rad
Stockholm City,Stockholm Landsbygd,14.7,13,Avståndet mellan Stockholm City och Stockholm Landsbygd är 14.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 13 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Stockholm%20City&amp;till=Stockholm%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Stockholm City,Södertälje,29.3,25,Avståndet mellan Stockholm City och Södertälje är 29.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 25 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Stockholm%20City&amp;till=Södertälje</loc><changefreq>monthly</changefreq></url>
Stockholm City,Södertälje Landsbygd,42.2,36,Avståndet mellan Stockholm City och Södertälje Landsbygd är 42.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 36 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Stockholm%20City&amp;till=Södertälje%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Stockholm City,Täby,12.7,11,Avståndet mellan Stockholm City och Täby är 12.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 11 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Stockholm%20City&amp;till=Täby</loc><changefreq>monthly</changefreq></url>
Stockholm City,Norrtälje,59.7,51,Avståndet mellan Stockholm City och Norrtälje är 59.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 51 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Stockholm%20City&amp;till=Norrtälje</loc><changefreq>monthly</changefreq></url>
Stockholm City,Norrtälje Landsbygd,62.8,54,Avståndet mellan Stockholm City och Norrtälje Landsbygd är 62.8 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 54 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Stockholm%20City&amp;till=Norrtälje%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Stockholm City,Haninge,18.3,16,Avståndet mellan Stockholm City och Haninge är 18.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 16 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Stockholm%20City&amp;till=Haninge</loc><changefreq>monthly</changefreq></url>
Stockholm City,Haninge Landsbygd,32.7,28,Avståndet mellan Stockholm City och Haninge Landsbygd är 32.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 28 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Stockholm%20City&amp;till=Haninge%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Stockholm City,Sigtuna,34.2,29,Avståndet mellan Stockholm City och Sigtuna är 34.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 29 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Stockholm%20City&amp;till=Sigtuna</loc><changefreq>monthly</changefreq></url>
Stockholm Landsbygd,Stockholm City,14.7,13,Avståndet mellan Stockholm Landsbygd och Stockholm City är 14.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 13 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Stockholm%20Landsbygd&amp;till=Stockholm%20City</loc><changefreq>monthly</changefreq></url>
