Startort,Destination,Distans_km,Kortid_min,Genererad_Text,Sitemap_Rad
Umeå,Umeå Landsbygd,13.3,10,Avståndet mellan Umeå och Umeå Landsbygd är 13.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå&amp;till=Umeå%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Umeå,Skellefteå,108.1,76,Avståndet mellan Umeå och Skellefteå är 108.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 76 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå&amp;till=Skellefteå</loc><changefreq>monthly</changefreq></url>
Umeå,Skellefteå Landsbygd,113,80,Avståndet mellan Umeå och Skellefteå Landsbygd är 113.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 80 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå&amp;till=Skellefteå%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Umeå,Lycksele,115,81,Avståndet mellan Umeå och Lycksele är 115.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 81 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå&amp;till=Lycksele</loc><changefreq>monthly</changefreq></url>
Umeå,Lycksele Landsbygd,113.7,80,Avståndet mellan Umeå och Lycksele Landsbygd är 113.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 80 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå&amp;till=Lycksele%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Umeå,Vilhelmina,195.7,138,Avståndet mellan Umeå och Vilhelmina är 195.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 138 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå&amp;till=Vilhelmina</loc><changefreq>monthly</changefreq></url>
Umeå,Vilhelmina Landsbygd,208.2,147,Avståndet mellan Umeå och Vilhelmina Landsbygd är 208.2 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 147 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå&amp;till=Vilhelmina%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Umeå,Vännäs,26.5,19,Avståndet mellan Umeå och Vännäs är 26.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 19 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå&amp;till=Vännäs</loc><changefreq>monthly</changefreq></url>
Umeå,Robertsfors,49.7,35,Avståndet mellan Umeå och Robertsfors är 49.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 35 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå&amp;till=Robertsfors</loc><changefreq>monthly</changefreq></url>
Umeå Landsbygd,Umeå,13.3,10,Avståndet mellan Umeå Landsbygd och Umeå är 13.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå%20Landsbygd&amp;till=Umeå</loc><changefreq>monthly</changefreq></url>
Umeå Landsbygd,Skellefteå,104.1,73,Avståndet mellan Umeå Landsbygd och Skellefteå är 104.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 73 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå%20Landsbygd&amp;till=Skellefteå</loc><changefreq>monthly</changefreq></url>
Umeå Landsbygd,Skellefteå Landsbygd,107.7,76,Avståndet mellan Umeå Landsbygd och Skellefteå Landsbygd är 107.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 76 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå%20Landsbygd&amp;till=Skellefteå%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Umeå Landsbygd,Lycksele,102,72,Avståndet mellan Umeå Landsbygd och Lycksele är 102.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 72 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå%20Landsbygd&amp;till=Lycksele</loc><changefreq>monthly</changefreq></url>
Umeå Landsbygd,Lycksele Landsbygd,100.4,71,Avståndet mellan Umeå Landsbygd och Lycksele Landsbygd är 100.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 71 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå%20Landsbygd&amp;till=Lycksele%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Umeå Landsbygd,Vilhelmina,182.6,129,Avståndet mellan Umeå Landsbygd och Vilhelmina är 182.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 129 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå%20Landsbygd&amp;till=Vilhelmina</loc><changefreq>monthly</changefreq></url>
Umeå Landsbygd,Vilhelmina Landsbygd,195,138,Avståndet mellan Umeå Landsbygd och Vilhelmina Landsbygd är 195.0 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 138 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå%20Landsbygd&amp;till=Vilhelmina%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Umeå Landsbygd,Vännäs,14.4,10,Avståndet mellan Umeå Landsbygd och Vännäs är 14.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå%20Landsbygd&amp;till=Vännäs</loc><changefreq>monthly</changefreq></url>
Umeå Landsbygd,Robertsfors,50.6,36,Avståndet mellan Umeå Landsbygd och Robertsfors är 50.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 36 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Umeå%20Landsbygd&amp;till=Robertsfors</loc><changefreq>monthly</changefreq></url>
Skellefteå,Umeå,108.1,76,Avståndet mellan Skellefteå och Umeå är 108.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 76 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Skellefteå&amp;till=Umeå</loc><changefreq>monthly</changefreq></url>
Skellefteå,Umeå Landsbygd,104.1,73,Avståndet mellan Skellefteå och Umeå Landsbygd är 104.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 73 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Skellefteå&amp;till=Umeå%20Landsbygd</loc><changefreq>monthly</changefreq></url>
