Startort,Destination,Distans_km,Kortid_min,Genererad_Text,Sitemap_Rad
Göteborg,Göteborg Landsbygd,13.1,10,Avståndet mellan Göteborg och Göteborg Landsbygd är 13.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg&amp;till=Göteborg%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Göteborg,Borås,57.4,41,Avståndet mellan Göteborg och Borås är 57.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 41 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg&amp;till=Borås</loc><changefreq>monthly</changefreq></url>
Göteborg,Borås Landsbygd,64.3,45,Avståndet mellan Göteborg och Borås Landsbygd är 64.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 45 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg&amp;till=Borås%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Göteborg,Skövde,133.7,94,Avståndet mellan Göteborg och Skövde är 133.7 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 94 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg&amp;till=Skövde</loc><changefreq>monthly</changefreq></url>
Göteborg,Skövde Landsbygd,142.4,101,Avståndet mellan Göteborg och Skövde Landsbygd är 142.4 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 101 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg&amp;till=Skövde%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Göteborg,Trollhättan,66.5,47,Avståndet mellan Göteborg och Trollhättan är 66.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 47 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg&amp;till=Trollhättan</loc><changefreq>monthly</changefreq></url>
Göteborg,Trollhättan Landsbygd,75.6,53,Avståndet mellan Göteborg och Trollhättan Landsbygd är 75.6 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 53 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg&amp;till=Trollhättan%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Göteborg,Uddevalla,71.1,50,Avståndet mellan Göteborg och Uddevalla är 71.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 50 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg&amp;till=Uddevalla</loc><changefreq>monthly</changefreq></url>
Göteborg,Uddevalla Landsbygd,77.5,55,Avståndet mellan Göteborg och Uddevalla Landsbygd är 77.5 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 55 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg&amp;till=Uddevalla%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Göteborg,Mariestad,155.3,110,Avståndet mellan Göteborg och Mariestad är 155.3 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 110 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg&amp;till=Mariestad</loc><changefreq>monthly</changefreq></url>
Göteborg,Mariestad Landsbygd,156.1,110,Avståndet mellan Göteborg och Mariestad Landsbygd är 156.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 110 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg&amp;till=Mariestad%20Landsbygd</loc><changefreq>monthly</changefreq></url>
Göteborg Landsbygd,Göteborg,13.1,10,Avståndet mellan Göteborg Landsbygd och Göteborg är 13.1 km och Karl-Johan Gyllenstorm beräknade körtiden till cirka 10 minuter.,<url><loc>https://pendlings-app1.t-767929534-cloudflare.workers.dev/?fran=Göteborg%20Landsbygd&amp;till=Göteborg</loc><changefreq>monthly</changefreq></url>
